,fluke,s8lp,sen0220,scd30
2021-09-28 22:00:00,845.0,872.0,814.0,858.0
2021-09-28 22:00:20,841.0,871.0,815.0,859.0
2021-09-28 22:00:40,855.0,871.0,813.0,858.0
2021-09-28 22:01:00,863.0,871.0,815.0,858.0
2021-09-28 22:01:20,857.0,871.0,815.0,859.0
2021-09-28 22:01:40,850.0,871.0,813.0,858.0
2021-09-28 22:02:00,852.0,870.0,814.0,859.0
2021-09-28 22:02:20,845.0,871.0,812.0,859.0
2021-09-28 22:02:40,843.0,870.0,814.0,858.0
2021-09-28 22:03:00,852.0,870.0,813.0,859.0
2021-09-28 22:03:20,860.0,870.0,812.0,859.0
2021-09-28 22:03:40,850.0,870.0,812.0,858.0
2021-09-28 22:04:00,847.0,870.0,813.0,858.0
2021-09-28 22:04:20,847.0,870.0,815.0,858.0
2021-09-28 22:04:40,857.0,870.0,815.0,858.0
2021-09-28 22:05:00,853.0,870.0,813.0,858.0
2021-09-28 22:05:20,847.0,870.0,814.0,858.0
2021-09-28 22:05:40,857.0,870.0,811.0,856.0
2021-09-28 22:06:00,844.0,871.0,811.0,856.0
2021-09-28 22:06:20,847.0,870.0,814.0,856.0
2021-09-28 22:06:40,858.0,870.0,813.0,855.0
2021-09-28 22:07:00,844.0,870.0,812.0,855.0
2021-09-28 22:07:20,847.0,871.0,814.0,855.0
2021-09-28 22:07:40,847.0,869.0,813.0,854.0
2021-09-28 22:08:00,838.0,870.0,813.0,854.0
2021-09-28 22:08:20,848.0,870.0,812.0,855.0
2021-09-28 22:08:40,853.0,869.0,813.0,854.0
2021-09-28 22:09:00,850.0,869.0,813.0,853.0
2021-09-28 22:09:20,853.0,870.0,813.0,852.0
2021-09-28 22:09:40,847.0,870.0,815.0,851.0
2021-09-28 22:10:00,842.0,869.0,814.0,850.0
2021-09-28 22:10:20,838.0,869.0,811.0,849.0
2021-09-28 22:10:40,841.0,868.0,814.0,848.0
2021-09-28 22:11:00,857.0,868.0,813.0,847.0
2021-09-28 22:11:20,869.0,869.0,814.0,849.0
2021-09-28 22:11:40,861.0,869.0,812.0,849.0
2021-09-28 22:12:00,861.0,868.0,811.0,850.0
2021-09-28 22:12:20,866.0,869.0,812.0,851.0
2021-09-28 22:12:40,863.0,868.0,813.0,852.0
2021-09-28 22:13:00,850.0,868.0,814.0,851.0
2021-09-28 22:13:20,844.0,869.0,813.0,850.0
2021-09-28 22:13:40,848.0,869.0,815.0,850.0
2021-09-28 22:14:00,847.0,869.0,813.0,850.0
2021-09-28 22:14:20,854.0,869.0,814.0,851.0
2021-09-28 22:14:40,855.0,870.0,813.0,851.0
2021-09-28 22:15:00,853.0,870.0,813.0,851.0
2021-09-28 22:15:20,855.0,870.0,813.0,853.0
2021-09-28 22:15:40,850.0,870.0,814.0,854.0
2021-09-28 22:16:00,845.0,871.0,813.0,852.0
2021-09-28 22:16:20,852.0,870.0,814.0,851.0
2021-09-28 22:16:40,864.0,871.0,813.0,850.0
2021-09-28 22:17:00,861.0,871.0,813.0,853.0
2021-09-28 22:17:20,850.0,870.0,814.0,853.0
2021-09-28 22:17:40,854.0,871.0,814.0,853.0
2021-09-28 22:18:00,871.0,871.0,814.0,851.0
2021-09-28 22:18:20,865.0,869.0,813.0,850.0
2021-09-28 22:18:40,847.0,868.0,812.0,852.0
2021-09-28 22:19:00,848.0,868.0,814.0,852.0
2021-09-28 22:19:20,854.0,869.0,813.0,850.0
2021-09-28 22:19:40,849.0,869.0,813.0,848.0
2021-09-28 22:20:00,864.0,869.0,814.0,846.0
2021-09-28 22:20:20,860.0,870.0,815.0,847.0
2021-09-28 22:20:40,852.0,871.0,815.0,846.0
2021-09-28 22:21:00,855.0,871.0,814.0,846.0
2021-09-28 22:21:20,848.0,870.0,813.0,846.0
2021-09-28 22:21:40,842.0,871.0,812.0,846.0
2021-09-28 22:22:00,853.0,871.0,812.0,847.0
2021-09-28 22:22:20,866.0,869.0,812.0,848.0
2021-09-28 22:22:40,859.0,870.0,811.0,849.0
2021-09-28 22:23:00,851.0,869.0,813.0,849.0
2021-09-28 22:23:20,859.0,869.0,812.0,849.0
2021-09-28 22:23:40,866.0,869.0,813.0,852.0
2021-09-28 22:24:00,858.0,870.0,815.0,851.0
2021-09-28 22:24:20,839.0,870.0,814.0,851.0
2021-09-28 22:24:40,830.0,870.0,814.0,852.0
2021-09-28 22:25:00,845.0,870.0,814.0,850.0
2021-09-28 22:25:20,857.0,870.0,815.0,850.0
2021-09-28 22:25:40,853.0,870.0,814.0,849.0
2021-09-28 22:26:00,852.0,871.0,813.0,849.0
2021-09-28 22:26:20,847.0,870.0,815.0,852.0
2021-09-28 22:26:40,847.0,871.0,813.0,853.0
2021-09-28 22:27:00,857.0,872.0,813.0,851.0
2021-09-28 22:27:20,862.0,872.0,815.0,850.0
2021-09-28 22:27:40,856.0,872.0,814.0,850.0
2021-09-28 22:28:00,850.0,872.0,814.0,852.0
2021-09-28 22:28:20,854.0,872.0,814.0,855.0
2021-09-28 22:28:40,861.0,871.0,813.0,854.0
2021-09-28 22:29:00,860.0,869.0,814.0,858.0
2021-09-28 22:29:20,855.0,870.0,814.0,858.0
2021-09-28 22:29:40,849.0,869.0,813.0,858.0
2021-09-28 22:30:00,843.0,867.0,813.0,859.0
2021-09-28 22:30:20,846.0,868.0,812.0,860.0
2021-09-28 22:30:40,847.0,869.0,814.0,860.0
2021-09-28 22:31:00,843.0,868.0,814.0,861.0
2021-09-28 22:31:20,843.0,870.0,814.0,860.0
2021-09-28 22:31:40,846.0,868.0,812.0,859.0
2021-09-28 22:32:00,847.0,870.0,813.0,860.0
2021-09-28 22:32:20,852.0,869.0,813.0,862.0
2021-09-28 22:32:40,860.0,870.0,813.0,860.0
2021-09-28 22:33:00,861.0,870.0,813.0,856.0
2021-09-28 22:33:20,855.0,869.0,811.0,856.0
2021-09-28 22:33:40,863.0,869.0,814.0,857.0
2021-09-28 22:34:00,856.0,870.0,812.0,857.0
2021-09-28 22:34:20,854.0,871.0,812.0,858.0
2021-09-28 22:34:40,860.0,872.0,814.0,860.0
2021-09-28 22:35:00,854.0,871.0,813.0,858.0
2021-09-28 22:35:20,862.0,872.0,813.0,856.0
2021-09-28 22:35:40,861.0,870.0,814.0,857.0
2021-09-28 22:36:00,854.0,870.0,814.0,855.0
2021-09-28 22:36:20,846.0,869.0,814.0,856.0
2021-09-28 22:36:40,860.0,869.0,813.0,855.0
2021-09-28 22:37:00,863.0,870.0,813.0,854.0
2021-09-28 22:37:20,862.0,870.0,813.0,853.0
2021-09-28 22:37:40,851.0,871.0,816.0,854.0
2021-09-28 22:38:00,836.0,870.0,815.0,855.0
2021-09-28 22:38:20,855.0,870.0,813.0,853.0
2021-09-28 22:38:40,861.0,868.0,811.0,852.0
2021-09-28 22:39:00,855.0,868.0,813.0,852.0
2021-09-28 22:39:20,854.0,868.0,814.0,852.0
2021-09-28 22:39:40,846.0,868.0,814.0,852.0
2021-09-28 22:40:00,841.0,869.0,815.0,852.0
2021-09-28 22:40:20,844.0,868.0,814.0,851.0
2021-09-28 22:40:40,852.0,868.0,812.0,851.0
2021-09-28 22:41:00,861.0,870.0,812.0,851.0
2021-09-28 22:41:20,857.0,872.0,812.0,852.0
2021-09-28 22:41:40,855.0,872.0,811.0,851.0
2021-09-28 22:42:00,859.0,872.0,814.0,850.0
2021-09-28 22:42:20,850.0,871.0,814.0,852.0
2021-09-28 22:42:40,841.0,870.0,814.0,851.0
2021-09-28 22:43:00,856.0,871.0,813.0,851.0
2021-09-28 22:43:20,871.0,870.0,814.0,851.0
2021-09-28 22:43:40,865.0,870.0,813.0,850.0
2021-09-28 22:44:00,852.0,870.0,813.0,849.0
2021-09-28 22:44:20,849.0,870.0,815.0,851.0
2021-09-28 22:44:40,851.0,869.0,814.0,850.0
2021-09-28 22:45:00,851.0,870.0,813.0,851.0
2021-09-28 22:45:20,850.0,870.0,812.0,851.0
2021-09-28 22:45:40,857.0,870.0,813.0,850.0
2021-09-28 22:46:00,854.0,870.0,810.0,849.0
2021-09-28 22:46:20,845.0,870.0,811.0,846.0
2021-09-28 22:46:40,850.0,871.0,812.0,845.0
2021-09-28 22:47:00,855.0,871.0,811.0,845.0
2021-09-28 22:47:20,855.0,869.0,812.0,844.0
2021-09-28 22:47:40,855.0,871.0,813.0,844.0
2021-09-28 22:48:00,854.0,871.0,813.0,845.0
2021-09-28 22:48:20,856.0,871.0,811.0,845.0
2021-09-28 22:48:40,854.0,870.0,813.0,844.0
2021-09-28 22:49:00,849.0,868.0,813.0,845.0
2021-09-28 22:49:20,852.0,866.0,814.0,845.0
2021-09-28 22:49:40,860.0,866.0,813.0,847.0
2021-09-28 22:50:00,860.0,868.0,814.0,846.0
2021-09-28 22:50:20,856.0,868.0,813.0,845.0
2021-09-28 22:50:40,851.0,869.0,815.0,841.0
2021-09-28 22:51:00,843.0,868.0,814.0,841.0
2021-09-28 22:51:20,851.0,869.0,814.0,840.0
2021-09-28 22:51:40,857.0,869.0,815.0,839.0
2021-09-28 22:52:00,856.0,868.0,814.0,839.0
2021-09-28 22:52:20,851.0,868.0,813.0,838.0
2021-09-28 22:52:40,851.0,869.0,812.0,838.0
2021-09-28 22:53:00,850.0,869.0,811.0,837.0
2021-09-28 22:53:20,850.0,869.0,811.0,837.0
2021-09-28 22:53:40,857.0,869.0,812.0,838.0
2021-09-28 22:54:00,865.0,869.0,813.0,838.0
2021-09-28 22:54:20,861.0,869.0,813.0,840.0
2021-09-28 22:54:40,861.0,869.0,813.0,840.0
2021-09-28 22:55:00,860.0,869.0,814.0,842.0
2021-09-28 22:55:20,856.0,869.0,813.0,842.0
2021-09-28 22:55:40,851.0,870.0,811.0,842.0
2021-09-28 22:56:00,854.0,869.0,813.0,841.0
2021-09-28 22:56:20,851.0,869.0,812.0,840.0
2021-09-28 22:56:40,852.0,869.0,811.0,840.0
2021-09-28 22:57:00,863.0,869.0,811.0,839.0
2021-09-28 22:57:20,863.0,870.0,813.0,839.0
2021-09-28 22:57:40,847.0,870.0,811.0,839.0
2021-09-28 22:58:00,847.0,870.0,813.0,840.0
2021-09-28 22:58:20,851.0,869.0,810.0,840.0
2021-09-28 22:58:40,844.0,870.0,813.0,841.0
2021-09-28 22:59:00,857.0,869.0,812.0,841.0
2021-09-28 22:59:20,863.0,869.0,813.0,841.0
2021-09-28 22:59:40,857.0,869.0,814.0,843.0
2021-09-28 23:00:00,847.0,870.0,813.0,844.0
2021-09-28 23:00:20,847.0,870.0,813.0,843.0
2021-09-28 23:00:40,857.0,870.0,814.0,843.0
2021-09-28 23:01:00,855.0,869.0,812.0,842.0
2021-09-28 23:01:20,852.0,869.0,813.0,842.0
2021-09-28 23:01:40,861.0,870.0,813.0,843.0
2021-09-28 23:02:00,865.0,870.0,815.0,844.0
2021-09-28 23:02:20,860.0,869.0,812.0,843.0
2021-09-28 23:02:40,857.0,870.0,814.0,845.0
2021-09-28 23:03:00,852.0,869.0,814.0,846.0
2021-09-28 23:03:20,849.0,869.0,812.0,847.0
2021-09-28 23:03:40,846.0,869.0,814.0,846.0
2021-09-28 23:04:00,854.0,870.0,813.0,846.0
2021-09-28 23:04:20,859.0,870.0,813.0,846.0
2021-09-28 23:04:40,853.0,868.0,814.0,846.0
2021-09-28 23:05:00,852.0,869.0,811.0,846.0
2021-09-28 23:05:20,847.0,869.0,811.0,845.0
2021-09-28 23:05:40,853.0,868.0,812.0,845.0
2021-09-28 23:06:00,863.0,868.0,813.0,845.0
2021-09-28 23:06:20,862.0,868.0,814.0,845.0
2021-09-28 23:06:40,857.0,868.0,814.0,847.0
2021-09-28 23:07:00,853.0,868.0,813.0,848.0
2021-09-28 23:07:20,856.0,868.0,813.0,849.0
2021-09-28 23:07:40,853.0,868.0,813.0,849.0
2021-09-28 23:08:00,847.0,868.0,811.0,849.0
2021-09-28 23:08:20,851.0,868.0,814.0,849.0
2021-09-28 23:08:40,848.0,868.0,813.0,849.0
2021-09-28 23:09:00,854.0,868.0,813.0,849.0
2021-09-28 23:09:20,852.0,868.0,814.0,849.0
2021-09-28 23:09:40,840.0,867.0,814.0,851.0
2021-09-28 23:10:00,846.0,868.0,815.0,850.0
2021-09-28 23:10:20,854.0,867.0,815.0,851.0
2021-09-28 23:10:40,864.0,868.0,814.0,849.0
2021-09-28 23:11:00,859.0,867.0,815.0,850.0
2021-09-28 23:11:20,847.0,865.0,813.0,850.0
2021-09-28 23:11:40,846.0,865.0,813.0,850.0
2021-09-28 23:12:00,853.0,866.0,813.0,849.0
2021-09-28 23:12:20,846.0,866.0,813.0,848.0
2021-09-28 23:12:40,841.0,865.0,814.0,848.0
2021-09-28 23:13:00,850.0,865.0,813.0,848.0
2021-09-28 23:13:20,856.0,864.0,811.0,849.0
2021-09-28 23:13:40,856.0,864.0,811.0,848.0
2021-09-28 23:14:00,857.0,865.0,811.0,845.0
2021-09-28 23:14:20,858.0,865.0,812.0,844.0
2021-09-28 23:14:40,861.0,866.0,812.0,844.0
2021-09-28 23:15:00,861.0,867.0,814.0,842.0
2021-09-28 23:15:20,856.0,868.0,812.0,842.0
2021-09-28 23:15:40,852.0,868.0,812.0,841.0
2021-09-28 23:16:00,852.0,866.0,814.0,842.0
2021-09-28 23:16:20,848.0,866.0,812.0,842.0
2021-09-28 23:16:40,848.0,867.0,813.0,842.0
2021-09-28 23:17:00,847.0,868.0,813.0,842.0
2021-09-28 23:17:20,850.0,869.0,815.0,841.0
2021-09-28 23:17:40,857.0,868.0,815.0,840.0
2021-09-28 23:18:00,853.0,868.0,812.0,841.0
2021-09-28 23:18:20,847.0,868.0,812.0,842.0
2021-09-28 23:18:40,850.0,868.0,813.0,841.0
2021-09-28 23:19:00,857.0,868.0,813.0,842.0
2021-09-28 23:19:20,856.0,869.0,810.0,841.0
2021-09-28 23:19:40,866.0,869.0,810.0,842.0
2021-09-28 23:20:00,859.0,869.0,811.0,842.0
2021-09-28 23:20:20,858.0,869.0,814.0,842.0
2021-09-28 23:20:40,861.0,868.0,814.0,841.0
2021-09-28 23:21:00,861.0,868.0,813.0,842.0
2021-09-28 23:21:20,862.0,870.0,812.0,845.0
2021-09-28 23:21:40,862.0,870.0,813.0,847.0
2021-09-28 23:22:00,863.0,869.0,814.0,847.0
2021-09-28 23:22:20,862.0,869.0,815.0,847.0
2021-09-28 23:22:40,859.0,869.0,812.0,847.0
2021-09-28 23:23:00,856.0,870.0,812.0,850.0
2021-09-28 23:23:20,852.0,870.0,813.0,850.0
2021-09-28 23:23:40,848.0,869.0,812.0,850.0
2021-09-28 23:24:00,861.0,869.0,814.0,851.0
2021-09-28 23:24:20,867.0,869.0,812.0,851.0
2021-09-28 23:24:40,852.0,870.0,810.0,852.0
2021-09-28 23:25:00,857.0,870.0,812.0,851.0
2021-09-28 23:25:20,846.0,869.0,812.0,851.0
2021-09-28 23:25:40,846.0,869.0,812.0,852.0
2021-09-28 23:26:00,859.0,869.0,813.0,851.0
2021-09-28 23:26:20,850.0,869.0,812.0,854.0
2021-09-28 23:26:40,853.0,869.0,812.0,854.0
2021-09-28 23:27:00,854.0,869.0,811.0,853.0
2021-09-28 23:27:20,845.0,869.0,812.0,848.0
2021-09-28 23:27:40,852.0,868.0,812.0,848.0
2021-09-28 23:28:00,859.0,869.0,812.0,849.0
2021-09-28 23:28:20,861.0,869.0,812.0,852.0
2021-09-28 23:28:40,857.0,869.0,814.0,853.0
2021-09-28 23:29:00,857.0,869.0,816.0,853.0
2021-09-28 23:29:20,847.0,869.0,814.0,853.0
2021-09-28 23:29:40,845.0,869.0,814.0,853.0
